source,year,main_item,item,amount_thousand_try
ministries,2015,Genel Bütçeli İdareler,Milli Savunma Bakanlığı,22764255.0
ministries,2015,Genel Bütçeli İdareler,İçişleri Bakanlığı,3898467.0
ministries,2015,Genel Bütçeli İdareler,Jandarma Genel Komutanlığı,6489530.0
ministries,2015,Genel Bütçeli İdareler,Emniyet Genel Müdürlüğü,17623719.0
ministries,2015,Genel Bütçeli İdareler,Sahil Güvenlik Komutanlığı,506226.0
ministries,2015,Genel Bütçeli İdareler,Kamu Düzeni ve Güvenliği Müsteşarlığı,22183.0
ministries,2015,Genel Bütçeli İdareler,Göç İdaresi Genel Müdürlüğü,179890.0
ministries,2015,Genel Bütçeli İdareler,Dışişleri Bakanlığı,2080968.0
ministries,2015,Genel Bütçeli İdareler,Maliye Bakanlığı,127254013.0
ministries,2015,Genel Bütçeli İdareler,Gelir İdaresi Başkanlığı,2444892.0
ministries,2015,Genel Bütçeli İdareler,Milli Eğitim Bakanlığı,62000248.0
ministries,2015,Genel Bütçeli İdareler,Sağlık Bakanlığı,2762657.0
ministries,2015,Genel Bütçeli İdareler,Türkiye Kamu Hastaneleri Kurumu,9873269.0
ministries,2015,Genel Bütçeli İdareler,Türkiye Halk Sağlığı Kurumu,7488572.0
ministries,2015,Genel Bütçeli İdareler,Çalışma ve Sosyal Güvenlik Bakanlığı,30678105.0
ministries,2015,Genel Bütçeli İdareler,Devlet Personel Başkanlığı,26333.0
ministries,2015,Genel Bütçeli İdareler,Enerji ve Tabii Kaynaklar Bakanlığı,1890023.0
ministries,2015,Genel Bütçeli İdareler,Kültür ve Turizm Bakanlığı,2297536.0
ministries,2015,Genel Bütçeli İdareler,Hakimler ve Savcılar Yüksek Kurulu,43219.0
ministries,2015,Genel Bütçeli İdareler,Aile ve Sosyal Politikalar Bakanlığı,18249634.0
ministries,2015,Genel Bütçeli İdareler,Avrupa Birliği Bakanlığı,291238.0
ministries,2015,Genel Bütçeli İdareler,"Bilim, Sanayi ve Teknoloji Bakanlığı",3025593.0
ministries,2015,Genel Bütçeli İdareler,Çevre ve Şehircilik Bakanlığı,1358916.0
ministries,2015,Genel Bütçeli İdareler,Tapu ve Kadastro Genel Müdürlüğü,775866.0
ministries,2015,Genel Bütçeli İdareler,Ekonomi Bakanlığı,1481672.0
ministries,2015,Genel Bütçeli İdareler,Gençlik ve Spor Bakanlığı,7202780.0
ministries,2015,Genel Bütçeli İdareler,"Gıda, Tarım ve Hayvancılık Bakanlığı",14698518.0
ministries,2015,Genel Bütçeli İdareler,Gümrük ve Ticaret Bakanlığı,764447.0
ministries,2015,Genel Bütçeli İdareler,Kalkınma Bakanlığı,2182320.0
ministries,2015,Genel Bütçeli İdareler,Türkiye İstatistik Kurumu Başkanlığı,285146.0
ministries,2015,Genel Bütçeli İdareler,Orman ve Su İşleri Bakanlığı,11712065.0
ministries,2015,Genel Bütçeli İdareler,Meteoroloji Genel Müdürlüğü,238423.0
ministries,2015,Genel Bütçeli İdareler,"Ulaştırma, Denizcilik ve Haberleşme Bakanlığı",13855514.0
balance,2016,Harcamalar,Harcamalar,570506708.0
balance,2016,Harcamalar,1-Faiz Hariç Harcama,514506708.0
balance,2016,Harcamalar,Personel Giderleri,147825672.6
balance,2016,Harcamalar,Sosyal Güv.Kur. Devlet Primi,24895327.4
balance,2016,Harcamalar,Mal ve Hizmet Alımları,46890808.0
balance,2016,Harcamalar,Cari Transferler,217673990.0
balance,2016,Harcamalar,Sermaye Giderleri,51788860.0
balance,2016,Harcamalar,Sermaye Transferleri,7521806.0
balance,2016,Harcamalar,Borç Verme,12938516.0
balance,2016,Harcamalar,Yedek Ödenekler,4971728.0
balance,2016,Harcamalar,2-Faiz Harcamaları,56000000.0
balance,2016,Gelirler,Gelirler,540818580.0
balance,2016,Gelirler,1-Genel Bütçe Gelirleri,528317170.0
balance,2016,Gelirler,Vergi Gelirleri,459150250.0
balance,2016,Gelirler,Teşebbüs ve Mülkiyet Gelirleri,18911314.0
balance,2016,Gelirler,Alınan Bağış ve Yardımlar ile Özel Gelirler,2456581.0
balance,2016,Gelirler,"Faizler, Paylar ve Cezalar",33954266.0
balance,2016,Gelirler,Sermaye Gelirleri,12201576.0
balance,2016,Gelirler,Alacaklardan Tahsilat,1643183.0
balance,2016,Gelirler,2-Özel Bütçeli İdarelerin Öz Gelirleri,8733356.0
balance,2016,Gelirler,3-Düzen. ve Denet. Kurumların Gelirleri,3768054.0
balance,2016,Denge,Bütçe Dengesi,-29688128.0
balance,2016,Denge,Faiz Dışı Denge,26311872.0
expense_detail,2016,1. Personel Giderleri,1. Personel Giderleri,147825672.6
expense_detail,2016,1. Personel Giderleri,Memurlar,130464654.6
expense_detail,2016,1. Personel Giderleri,İşçiler,7421968.0
expense_detail,2016,1. Personel Giderleri,Sözleşmeli Personel,3953884.0
expense_detail,2016,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,2. Sosyal Güvenlik Kurumlarına Devlet Primi Giderleri,24895327.4
expense_detail,2016,3. Mal ve Hizmet Alım Giderleri,3. Mal ve Hizmet Alım Giderleri,46890808.0
expense_detail,2016,3. Mal ve Hizmet Alım Giderleri,a) Savunma-Güvenlik,13377459.0
expense_detail,2016,4. Cari Transferler,4. Cari Transferler,217673990.0
expense_detail,2016,4. Cari Transferler,KİT Görevlendirme Giderleri,2078386.0
expense_detail,2016,4. Cari Transferler,Ziraat Bankası-Tarımsal Üreticilere Kredi Faiz Desteği,1742000.0
expense_detail,2016,4. Cari Transferler,-Devlet Sosyal Güvenlik Katkısı,44369787.0
expense_detail,2016,4. Cari Transferler,-Faturalı Ödemeler (Görev Zararı),5179837.0
expense_detail,2016,4. Cari Transferler,-Emeklilere Ek Ödemeler (Görev Zararı),7791614.0
expense_detail,2016,4. Cari Transferler,-Sosyal Güvenlik Açık Finansmanı (Hazine Yardımı),11308977.0
expense_detail,2016,4. Cari Transferler,e) Tarımsal Destekleme Ödemeleri,11644000.0
expense_detail,2016,4. Cari Transferler,Bireysel Emeklilik Devlet Katkısı,3099550.0
expense_detail,2016,4. Cari Transferler,g) Sosyal Amaçlı Transferler,11666820.0
expense_detail,2016,4. Cari Transferler,-Büyükşehir Belediyelerine,22859073.0
expense_detail,2016,4. Cari Transferler,-Büyükşehir İlçe Belediyelerine,20661761.0
expense_detail,2016,4. Cari Transferler,-Diğer Belediyelere,6887254.0
expense_detail,2016,5. Sermaye Giderleri,5. Sermaye Giderleri,51788859.99999999
expense_detail,2016,5. Sermaye Giderleri,Gayrimenkul Sermaye Üretim Giderleri,34286143.3
expense_detail,2016,6. Sermaye Transferleri,6. Sermaye Transferleri,7521806.0
expense_detail,2016,7. Borç Verme,7. Borç Verme,12938516.0
expense_detail,2016,7. Borç Verme,Öğrenim ve Harç Kredisi,4675000.0
expense_detail,2016,8. Yedek Ödenekler,8. Yedek Ödenekler,4971728.0
expense_detail,2016,8. Yedek Ödenekler,Yedek Ödenek,2064576.0
expense_detail,2016,8. Yedek Ödenekler,Yatırımları Hızlandırma Ödeneği,770587.0
expense_detail,2016,B. Faiz Giderleri,B. Faiz Giderleri,56000000.0
